id	C1	C2
C19orf34	5.078803882	4.1040340513
AP005380.1	0.0393903777003	0.0393903777003
AADAC	0.275732643902	0.275732643902
ANXA8L1	2.40888125449	0.630246043205
AC135457.1	9.76799869537	7.26357078552
AC092688.1	0.0	0.0
EPCAM	161.871914357	133.399768084
PGA3	19.9505990595	8.70237056166
C19orf39	17.1266121864	13.2964835167
PGA5	15.2095501423	6.24230223149
AC069137.2	0.0	0.0
FAM154A	8.16998807341	6.48532162607
HTR6	20.3438706398	14.6628961563
VCX3A	2.76886126399	0.196951888502
C22orf23	36.3493323252	35.8107891828
PPP1CB	214.698433898	224.299836315
PPP1CC	98.1586423963	101.683792695
PPP1CA	351.764027618	341.929580711
MPPED1	7.78417726606	22.7493832037
C11orf20	3.75764647871	1.76213685423
C11orf21	0.472684532404	0.472684532404
KLHL4	79.0749790668	128.868214607
C11orf24	142.655908182	132.494184598
C22orf25	100.518783279	100.857730865
FOXC1	1.81802558899	4.02590847015
COL6A1	83.0028961748	71.9302117005
WBP2	103.228095978	91.6359579265
COL6A3	152.629007466	98.4899381176
COL6A2	196.498792075	167.412291616
COL6A5	1.77256699651	4.98171768337
POM121	222.617014803	203.700313486
RFXANK	65.715818271	61.3738726228
COL6A6	7.11393924057	11.8832261935
FGB	0.984759442508	0.984759442508
WAPAL	342.974759869	366.131841473
KLK12	0.512074910104	0.512074910104
KLK13	0.157561510801	0.157561510801
KLK10	36.9196348414	40.6194199696
KLK11	9.44545986503	7.87450744957
GANAB	722.82170397	722.562771618
KLK14	17.3310745507	18.8561828882
KLK15	0.196951888502	0.196951888502
AC011551.1	7.66538381577	1.68335609883
FAM71D	22.0184424818	20.6046095788
FAM71B	0.0787807554007	0.0787807554007
FAM71C	1.85741596669	1.68335609883
CACNG1	0.157561510801	0.157561510801
C12orf40	1.41805359721	1.41805359721
CD40LG	0.236342266202	0.236342266202
AC005324.8-001	5.44722109288	5.62444811314
GPR20	10.9065454528	8.46588306874
OGG1	275.525328733	252.2276318
SESN1	130.853609718	133.619684801
SPAG1	23.3827319741	48.1276382208
C3orf33	21.8196931407	22.1463892981
GPR21	3.63605117798	1.68335609883
ALLC	2.5664427653	2.39238289744
BCO2	18.2923588082	21.9649316594
ARHGDIG	27.7820351273	10.5248505399
VSIG10	87.4010370299	81.0364168212
GPR26	12.020506382	10.5837951228
SESN3	70.2747775167	81.5147291273
C4orf52	67.2827757969	72.2010826245
GPR27	13.0735263824	13.7653436661
SLC34A1	0.590855665505	0.590855665505
SLC34A3	5.43331728131	2.11665025353
SLC34A2	64.5665731356	53.6369730011
OR2AE1	0.0393903777003	0.0393903777003
SASH1	89.226043433	84.9990658462
AC069137.1	7.64035081863	8.13425636292
C3orf37	152.257035382	153.238073952
PPP1R16B	59.0085127279	66.6357687786
PLLP	31.1040782928	23.5432238579
PCDHB11	10.9878540039	8.94348049164
BLNK	1.96951888502	4.31141608208
EIF3CL	318.561523698	306.675707467
KCNMB1	5.57224790007	5.60478260368
ATP1A1OS	42.7283245698	42.3164740652
UAP1L1	78.3437525406	55.6136877239
CR388372.6	0.0	0.0
C16orf45	40.8172973245	37.119847402
USH1C	27.9653167874	32.2515387461
UBR3	108.27833318	122.40378999
UBR2	95.0321790054	109.409798749
UBR1	268.099221878	334.459372006
NUCB1	284.207205102	252.153110735
HSDL1	97.671342954	96.29922048
UBR5	923.826195575	1007.24909225
NUCB2	144.456792749	163.967949525
SOCS5	38.9530432746	42.4480910301
SOCS4	55.6829881668	58.7396421432
CALN1	69.20818156	59.4901952669
C16orf46	30.1977440491	32.3242048398
SOCS1	19.6542127654	17.5558633804
SRPR	294.641712666	312.825739674
SOCS3	27.4123468399	24.0989770889
SOCS2	11.2141495273	15.6810498238
PPP2CA	195.023715414	185.070808038
NFXL1	289.127136618	341.883722797
RP11-565P22.6	15.2771830559	16.5759253502
PPP2CB	277.032612108	290.731595933
CCNY	140.32320071	144.376621149
PPIAL4B	0.0	0.0
CSTL1	2.09375823289	1.91969836503
MIOX	5.25312382728	10.9051338732
FAM74A1	2.65069013089	4.34876757115
AC005014.4	0.551465287805	0.551465287805
ENAM	0.669636420906	0.669636420906
CCNO	11.665375337	9.60393105447
CCL3L3	0.0393903777003	0.0393903777003
CCNI	261.982272461	286.249959968
CCNJ	167.002901554	187.818040609
VPS72	236.136652865	221.730486311
TNS1	152.598559886	145.243029468
PACS2	182.430826128	163.996906221
TBRG1	169.791547284	173.124983773
TBRG4	470.663044229	435.89859625
BX296568.1	0.0	0.0
RP13-279N23.2	35.531412676	26.8912583664
AC092171.2	0.0	0.0
NCKAP5	18.5808134452	24.3544229269
GSK3B	74.9910138175	79.4105079696
LYSMD1	33.2831349373	32.0479917526
IL1R2	4.14812608808	0.590855665505
